,playerguid,framenumber,frametime_ms,posX,posY,posZ,health,sessionid,stateflags
299,Michelle_Rogers,10719,31,-36968.76171875,-58015.47265625,2417.34716796875,600,2687592411372870805,1
300,Jesus_Roberts,10719,31,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
301,Laura_Davis,10721,31,39909.80859375,-47074.3984375,10330.7685546875,600,2687592411372870805,1
302,Michelle_Rogers,10721,31,-36903.42578125,-57984.1015625,2421.140625,600,2687592411372870805,1
303,Michelle_Rogers,10723,31,-36863.0390625,-57965.60546875,2423.52587890625,600,2687592411372870805,1
304,Michelle_Rogers,10723,31,-36843.16796875,-57956.3203125,2425.37255859375,600,2687592411372870805,1
305,Laura_Davis,10725,31,39906.82421875,-47037.44140625,10315.5361328125,600,2687592411372870805,1
306,Michelle_Rogers,10725,31,-36803.12109375,-57936.1640625,2429.720703125,600,2687592411372870805,1
307,Richard_Johnson,10725,31,35740.54296875,56116.80078125,6287.44091796875,600,2687592411372870805,1
308,Michelle_Rogers,10727,32,-36759.5859375,-57910.5625,2434.666015625,600,2687592411372870805,1
309,Laura_Davis,10727,32,39904.96875,-47014.38671875,10305.916015625,600,2687592411372870805,1
310,Lori_Ross,10727,32,62029.64453125,12019.0927734375,3135.804931640625,600,2687592411372870805,1
311,Michelle_Rogers,10727,32,-36728.61328125,-57889.49609375,2438.3349609375,600,2687592411372870805,1
312,Richard_Johnson,10727,32,35769.89453125,56127.42578125,6287.44091796875,600,2687592411372870805,1
313,Laura_Davis,10729,31,39903.73046875,-46999.30078125,10299.6279296875,600,2687592411372870805,1
